date,temperature_max,temperature_min,precipitation,windspeed_max
2023-11-23,13.2,6.4,0.0,19.2
2023-11-24,11.6,3.5,0.5,25.7
2023-11-25,8.0,2.4,0.0,21.1
2023-11-26,7.1,-0.3,0.0,14.1
2023-11-27,9.3,4.5,6.2,23.2
2023-11-28,7.6,1.4,0.2,22.5
2023-11-29,8.5,0.8,0.0,13.3
2023-11-30,6.5,0.1,1.1,10.2
2023-12-01,3.8,-0.1,0.0,15.5
2023-12-02,3.1,-3.3,0.0,16.2
2023-12-03,4.2,-2.0,0.1,22.3
2023-12-04,9.8,2.3,14.1,29.5
2023-12-05,8.3,5.9,9.3,29.7
2023-12-06,7.8,3.1,0.1,13.7
2023-12-07,6.2,2.3,5.2,19.3
2023-12-08,10.6,5.4,5.8,14.1
2023-12-09,14.3,6.6,25.3,38.3
2023-12-10,13.4,7.1,1.8,33.0
2023-12-11,13.1,8.7,0.0,23.4
2023-12-12,13.0,8.9,6.4,24.2
2023-12-13,10.1,6.5,2.1,19.9
2023-12-14,8.4,6.8,0.3,23.2
2023-12-15,9.6,4.0,0.8,10.1
2023-12-16,9.9,1.3,0.0,8.8
2023-12-17,7.3,1.5,0.0,11.9
2023-12-18,3.9,1.1,0.0,13.6
2023-12-19,10.1,3.5,2.9,25.2
2023-12-20,9.5,4.9,0.3,22.6
2023-12-21,12.0,9.5,0.8,31.0
2023-12-22,11.0,9.4,1.1,30.8
2023-12-23,11.9,8.1,0.4,23.2
2023-12-24,11.4,8.4,0.2,25.8
2023-12-25,12.8,10.7,0.0,27.5
2023-12-26,11.6,10.0,0.4,23.0
2023-12-27,10.4,7.4,2.0,28.6
2023-12-28,12.2,8.7,0.2,29.1
2023-12-29,11.5,8.3,1.3,30.6
2023-12-30,11.8,7.7,0.1,25.3
2023-12-31,10.8,7.7,1.8,38.2
2024-01-01,9.9,5.9,2.1,30.5
2024-01-02,11.9,9.5,14.0,41.2
2024-01-03,12.0,8.9,2.1,32.8
2024-01-04,10.6,6.7,1.3,28.3
2024-01-05,10.3,4.4,0.0,25.2
2024-01-06,7.5,3.4,1.6,22.2
2024-01-07,4.9,1.5,0.1,20.9
2024-01-08,1.0,-3.8,0.3,22.2
2024-01-09,-1.4,-2.4,1.4,16.1
2024-01-10,0.9,-3.9,0.0,11.3
2024-01-11,1.9,-2.8,0.0,15.7
2024-01-12,3.3,-2.4,0.0,15.0
2024-01-13,0.7,-1.7,0.0,10.2
2024-01-14,0.2,-2.6,0.0,10.3
2024-01-15,4.6,-2.4,0.4,17.4
2024-01-16,3.4,-3.8,0.0,11.5
2024-01-17,9.0,-1.5,26.7,23.5
2024-01-18,2.9,-3.0,7.2,22.1
2024-01-19,3.7,-4.2,0.0,9.9
2024-01-20,1.5,-5.3,0.0,13.6
2024-01-21,8.3,-1.6,0.1,33.7
2024-01-22,12.3,8.0,6.2,42.0
2024-01-23,13.2,6.2,0.5,27.7
2024-01-24,13.5,10.6,0.5,27.7
2024-01-25,13.1,9.5,1.1,17.1
2024-01-26,12.1,2.0,1.0,24.9
2024-01-27,7.4,-1.9,0.0,8.1
2024-01-28,9.3,0.2,0.0,12.8
2024-01-29,12.8,5.6,0.0,13.7
2024-01-30,11.2,7.0,0.0,15.1
2024-01-31,11.4,2.6,0.0,14.3
2024-02-01,11.4,5.7,1.1,18.3
2024-02-02,9.2,3.5,0.0,14.2
2024-02-03,11.2,8.7,0.0,17.7
2024-02-04,12.1,8.8,0.0,20.3
2024-02-05,9.7,6.2,0.0,18.1
2024-02-06,12.3,7.5,0.0,29.6
2024-02-07,12.2,10.5,5.9,29.3
2024-02-08,13.6,11.1,7.4,30.4
2024-02-09,14.2,8.9,3.4,30.5
2024-02-10,10.0,5.8,7.4,24.6
2024-02-11,10.5,6.5,1.1,27.4
2024-02-12,10.6,4.3,0.8,13.2
2024-02-13,10.8,2.6,1.9,22.5
2024-02-14,14.8,9.2,0.5,22.2
2024-02-15,17.1,8.7,3.6,14.0
2024-02-16,14.1,7.2,4.4,25.7
2024-02-17,13.8,6.5,0.0,10.0
2024-02-18,11.7,6.5,6.2,23.4
2024-02-19,11.6,9.2,0.6,21.3
2024-02-20,10.8,6.9,0.0,14.9
2024-02-21,10.6,6.8,10.8,30.9
2024-02-22,14.3,6.2,15.6,40.8
2024-02-23,9.1,4.2,2.2,31.4
2024-02-24,8.9,2.0,3.6,28.0
2024-02-25,8.9,3.7,9.4,23.5
2024-02-26,9.6,5.4,8.5,29.5
2024-02-27,9.7,4.1,0.0,27.3
2024-02-28,10.9,0.2,0.0,14.0
2024-02-29,10.4,8.6,1.4,23.6
2024-03-01,10.9,4.3,5.2,35.7
2024-03-02,8.9,5.0,11.2,25.9
2024-03-03,8.8,4.1,3.2,13.9
2024-03-04,11.2,0.3,0.6,12.1
2024-03-05,9.5,4.6,7.5,19.2
2024-03-06,9.6,3.9,3.2,10.0
2024-03-07,12.8,1.2,0.0,19.3
2024-03-08,13.6,2.6,0.0,25.6
2024-03-09,13.6,6.0,4.6,25.5
2024-03-10,10.6,6.2,3.0,15.9
2024-03-11,12.1,4.1,1.6,20.3
2024-03-12,11.6,6.8,5.2,18.4
2024-03-13,14.3,9.2,0.0,16.1
2024-03-14,17.5,5.6,0.0,16.7
2024-03-15,16.1,11.4,6.9,28.8
2024-03-16,14.7,9.6,0.7,21.6
2024-03-17,15.5,9.0,4.6,16.1
2024-03-18,16.2,10.3,3.4,12.4
2024-03-19,17.2,6.8,0.0,10.4
2024-03-20,19.2,6.1,0.0,9.4
2024-03-21,18.1,7.5,0.0,11.3
2024-03-22,17.6,7.2,0.1,17.8
2024-03-23,10.9,5.2,8.3,28.4
2024-03-24,11.4,3.9,0.8,28.3
2024-03-25,12.9,1.7,0.0,21.1
2024-03-26,12.5,6.2,8.0,23.6
2024-03-27,12.5,5.0,1.3,29.0
2024-03-28,12.0,5.6,3.5,39.0
2024-03-29,13.3,8.4,8.2,22.4
2024-03-30,12.1,7.3,11.7,14.9
2024-03-31,14.0,6.2,2.4,22.7
2024-04-01,13.7,6.7,1.7,23.4
2024-04-02,13.9,7.6,0.5,33.7
2024-04-03,16.1,10.0,7.2,28.2
2024-04-04,18.0,12.3,10.8,39.8
2024-04-05,18.1,12.3,4.2,26.3
2024-04-06,24.1,12.7,0.0,23.2
2024-04-07,17.1,13.1,10.6,17.6
2024-04-08,21.4,8.3,8.3,20.3
2024-04-09,12.6,7.8,1.2,31.7
2024-04-10,15.8,5.1,0.0,14.8
2024-04-11,17.8,9.6,0.5,11.4
2024-04-12,22.2,9.7,0.0,13.1
2024-04-13,24.2,10.4,0.0,17.7
2024-04-14,20.1,9.7,0.0,16.3
2024-04-15,13.5,7.0,2.8,39.8
2024-04-16,13.0,6.8,2.8,27.8
2024-04-17,11.9,4.6,1.3,22.0
2024-04-18,12.0,2.8,0.7,15.4
2024-04-19,12.4,7.7,0.8,29.5
2024-04-20,10.3,3.5,0.1,20.6
2024-04-21,10.6,3.2,1.7,28.7
2024-04-22,10.6,2.6,0.6,18.5
2024-04-23,11.3,1.2,0.0,19.2
2024-04-24,10.8,5.0,1.2,27.4
2024-04-25,12.3,1.3,0.2,11.1
2024-04-26,15.3,4.2,3.0,18.0
2024-04-27,16.0,8.5,16.2,17.1
2024-04-28,15.5,9.3,3.9,28.0
2024-04-29,17.8,5.8,0.4,15.5
2024-04-30,18.6,10.3,5.2,22.5
2024-05-01,19.4,11.6,5.1,20.8
2024-05-02,15.2,10.8,7.4,23.2
2024-05-03,15.7,8.8,2.6,21.9
2024-05-04,15.1,6.5,0.7,12.4
2024-05-05,17.4,8.9,1.7,19.6
2024-05-06,17.1,10.5,3.5,18.6
2024-05-07,18.6,8.2,1.1,23.5
2024-05-08,16.3,8.3,0.0,15.4
2024-05-09,19.4,7.3,0.0,11.9
2024-05-10,22.5,9.4,0.0,14.8
2024-05-11,24.7,10.0,0.0,15.2
2024-05-12,24.2,11.9,8.3,12.7
2024-05-13,20.8,14.4,0.0,19.6
2024-05-14,16.7,13.3,17.1,14.1
2024-05-15,19.0,12.2,2.3,14.1
2024-05-16,18.3,11.8,3.2,14.0
2024-05-17,18.4,10.0,0.2,9.9
2024-05-18,20.4,11.4,7.1,12.6
2024-05-19,19.1,11.6,2.0,8.9
2024-05-20,21.3,11.2,10.5,14.5
2024-05-21,19.3,11.8,13.5,11.9
2024-05-22,18.8,11.1,3.9,20.5
2024-05-23,18.9,11.6,8.0,12.3
2024-05-24,18.7,10.4,3.2,16.3
2024-05-25,20.3,10.7,1.1,10.5
2024-05-26,20.6,14.0,3.6,21.9
2024-05-27,16.7,11.3,1.8,18.4
2024-05-28,16.8,10.1,2.0,23.2
2024-05-29,17.4,13.9,17.6,23.8
2024-05-30,16.5,11.9,6.0,24.3
2024-05-31,17.4,10.8,3.6,23.4
2024-06-01,15.0,12.1,2.4,22.7
2024-06-02,17.4,12.4,0.0,19.9
2024-06-03,19.9,7.9,0.0,10.8
2024-06-04,22.0,11.9,1.3,19.5
2024-06-05,18.6,12.8,0.4,16.9
2024-06-06,19.7,8.5,0.0,14.5
2024-06-07,20.5,8.4,0.0,10.1
2024-06-08,21.2,8.4,0.0,19.4
2024-06-09,20.3,8.9,0.0,19.8
2024-06-10,16.6,9.7,3.0,26.0
2024-06-11,16.9,6.8,0.4,16.7
2024-06-12,17.3,6.6,3.0,14.0
2024-06-13,19.5,8.8,0.7,20.8
2024-06-14,21.3,13.1,3.5,26.8
2024-06-15,17.5,11.3,1.7,29.8
2024-06-16,19.7,13.0,4.9,25.1
2024-06-17,21.8,13.8,7.7,13.7
2024-06-18,22.2,14.8,21.4,13.9
2024-06-19,21.3,14.7,1.8,23.3
2024-06-20,22.2,14.8,1.8,15.8
2024-06-21,21.9,15.7,18.6,13.3
2024-06-22,19.7,13.8,3.7,24.3
2024-06-23,23.8,10.6,0.0,19.5
2024-06-24,26.0,13.0,0.0,11.2
2024-06-25,27.7,16.0,0.0,12.3
2024-06-26,29.5,17.1,0.0,14.0
2024-06-27,28.6,18.2,0.2,18.3
2024-06-28,22.0,14.4,0.0,13.5
2024-06-29,22.6,12.7,31.8,18.3
2024-06-30,22.2,14.3,4.2,18.3
2024-07-01,20.0,15.2,1.4,17.6
2024-07-02,20.0,13.7,1.2,16.5
2024-07-03,20.4,11.8,0.2,20.4
2024-07-04,21.4,15.4,0.4,22.8
2024-07-05,23.8,12.1,0.1,18.6
2024-07-06,20.7,14.6,0.1,27.9
2024-07-07,20.8,10.4,0.1,21.1
2024-07-08,22.3,10.8,0.0,12.8
2024-07-09,27.6,16.0,2.6,14.3
2024-07-10,25.4,17.3,0.5,19.6
2024-07-11,23.9,14.9,0.3,15.5
2024-07-12,19.3,14.0,12.4,17.4
2024-07-13,21.0,13.3,3.2,9.9
2024-07-14,22.6,12.2,0.1,9.0
2024-07-15,27.0,13.0,1.1,23.4
2024-07-16,22.7,15.7,0.8,28.0
2024-07-17,24.5,13.3,0.0,10.0
2024-07-18,29.0,14.8,0.0,8.5
2024-07-19,31.9,17.9,0.2,8.4
2024-07-20,30.3,18.7,8.8,12.7
2024-07-21,25.3,18.7,6.4,19.7
2024-07-22,24.5,14.5,0.0,17.4
2024-07-23,23.8,17.3,1.9,24.5
2024-07-24,24.5,13.9,0.0,7.7
2024-07-25,28.0,15.6,0.0,13.3
2024-07-26,23.6,19.1,4.9,10.6
2024-07-27,19.8,16.7,8.0,10.1
2024-07-28,24.5,11.3,0.0,14.5
2024-07-29,29.2,14.5,0.0,12.9
2024-07-30,33.6,19.6,0.0,9.4
2024-07-31,31.2,21.5,7.1,17.6
2024-08-01,28.7,20.3,29.4,13.7
2024-08-02,27.2,18.6,2.7,19.4
2024-08-03,24.2,15.1,0.6,14.8
2024-08-04,23.5,16.2,0.0,14.3
2024-08-05,27.5,13.4,0.0,7.6
2024-08-06,28.3,15.6,0.0,15.6
2024-08-07,23.4,16.5,2.8,13.7
2024-08-08,27.2,16.8,0.1,15.2
2024-08-09,25.3,18.1,0.0,18.5
2024-08-10,27.7,14.7,0.0,9.4
2024-08-11,31.8,17.3,0.0,16.3
2024-08-12,35.2,20.8,0.0,15.4
2024-08-13,27.5,20.0,1.4,17.8
2024-08-14,26.1,19.5,8.9,12.2
2024-08-15,26.0,18.3,0.7,13.0
2024-08-16,25.5,16.9,0.1,17.9
2024-08-17,22.3,17.9,37.7,15.5
2024-08-18,22.0,14.0,6.4,20.2
2024-08-19,22.2,10.7,0.0,9.2
2024-08-20,23.8,14.1,16.2,21.6
2024-08-21,21.0,12.0,0.0,15.3
2024-08-22,24.5,11.9,0.0,17.7
2024-08-23,25.0,15.7,0.1,28.3
2024-08-24,29.2,16.9,2.9,28.5
